Pref,Class,Monthly,Lower,Upper,保険料_介護保険2号非該当_全額,保険料_介護保険2号非該当_折半額,保険料_介護保険2号該当_全額,保険料_介護保険2号該当_折半額
群馬,19,240000,230000,250000,23544,11772,27384,13692
群馬,20,260000,250000,270000,25506,12753,29666,14833
群馬,21,280000,270000,290000,27468,13734,31948,15974
群馬,22,300000,290000,310000,29430,14715,34230,17115
群馬,23,320000,310000,330000,31392,15696,36512,18256
群馬,24,340000,330000,350000,33354,16677,38794,19397
群馬,25,360000,350000,370000,35316,17658,41076,20538
群馬,26,380000,370000,395000,37278,18639,43358,21679
群馬,27,410000,395000,425000,40221,20110,46781,23390
群馬,28,440000,425000,455000,43164,21582,50204,25102
群馬,29,470000,455000,485000,46107,23054,53627,26814
群馬,30,500000,485000,515000,49050,24525,57050,28525
群馬,31,530000,515000,545000,51993,25996,60473,30237
群馬,32,560000,545000,575000,54936,27468,63896,31948
群馬,33,590000,575000,605000,57879,28940,67319,33660
群馬,34,620000,605000,635000,60822,30411,70742,35371
群馬,35,650000,635000,665000,63765,31883,74165,37082
群馬,36,680000,665000,695000,66708,33354,77588,38794
群馬,37,710000,695000,730000,69651,34826,81011,40506
群馬,38,750000,730000,770000,73575,36788,85575,42788
群馬,39,790000,770000,810000,77499,38750,90139,45070
群馬,40,830000,810000,855000,81423,40712,94703,47352
群馬,41,880000,855000,905000,86328,43164,100408,50204
群馬,42,930000,905000,955000,91233,45616,106113,53056
群馬,43,980000,955000,1005000,96138,48069,111818,55909
群馬,44,1030000,1005000,1055000,101043,50522,117523,58762
群馬,45,1090000,1055000,1115000,106929,53464,124369,62185
群馬,46,1150000,1115000,1175000,112815,56408,131215,65608
群馬,47,1210000,1175000,1235000,118701,59351,138061,69030
